 H+ 0         1         1       109679.(1S)
    1 1S1               (2)0( 0.5)             0.0   {1}1.000
    2 2S1               (2)0( 0.5)         82258.9   {1}1.000
    3 2P1               (2)1( 2.5)         82259.0   {1}1.000
    4 3S1               (2)0( 0.5)         97492.2   {1}1.000
    5 3P1               (2)1( 2.5)         97492.2   {1}1.000
    6 3D1               (2)2( 4.5)         97492.3   {1}1.000
    7 4S1               (2)0( 0.5)        102823.9   {1}1.000
    8 4P1               (2)1( 2.5)        102823.9   {1}1.000
    9 4D1               (2)2( 4.5)        102823.9   {1}1.000
   10 4F1               (2)3( 6.5)        102823.9   {1}1.000
   11 5S1               (2)0( 0.5)        105291.6   {1}1.000
   12 5P1               (2)1( 2.5)        105291.6   {1}1.000
   13 5D1               (2)2( 4.5)        105291.6   {1}1.000
   14 5F1               (2)3( 6.5)        105291.6   {1}1.000
   15 5G1               (2)4( 8.5)        105291.6   {1}1.000
   -1
  14   8 1.00-30 6.91+01 6.91+01 6.91+01 1.15+02 2.41+02 3.15+02 4.14+02 4.65+02 4.98+02 5.21+02 5.61+02 5.89+02 6.08+02
  15   8 1.00-30 6.96+01 6.96+01 6.96+01 9.94+01 1.63+02 1.95+02 2.32+02 2.47+02 2.55+02 2.60+02 2.69+02 2.75+02 2.79+02
  11   9 1.00-30 1.27+01 1.27+01 1.27+01 1.60+01 1.90+01 2.02+01 2.18+01 2.26+01 2.31+01 2.34+01 2.39+01 2.43+01 2.45+01
  12   9 1.89+05 3.17+01 3.73+01 4.19+01 6.05+01 8.41+01 9.00+01 9.77+01 1.05+02 1.11+02 1.17+02 1.35+02 1.61+02 2.07+02
  13   9 1.00-30 8.97+01 8.97+01 8.97+01 1.59+02 3.35+02 4.18+02 5.10+02 5.53+02 5.78+02 5.96+02 6.27+02 6.49+02 6.64+02
  14   9 2.59+06 8.10+01 9.52+01 1.07+02 1.95+02 5.37+02 8.10+02 1.30+03 1.67+03 1.96+03 2.21+03 2.88+03 3.81+03 5.38+03
  15   9 1.00-30 1.70+02 1.70+02 1.70+02 2.61+02 4.79+02 6.11+02 7.92+02 8.88+02 9.50+02 9.93+02 1.07+03 1.12+03 1.15+03
  11  10 1.00-30 1.01+01 1.01+01 1.01+01 1.08+01 9.56+00 8.72+00 7.69+00 7.15+00 6.80+00 6.54+00 6.08+00 5.77+00 5.55+00
  12  10 1.00-30 3.48+01 3.48+01 3.48+01 4.05+01 3.97+01 3.70+01 3.32+01 3.11+01 2.98+01 2.89+01 2.73+01 2.62+01 2.55+01
  13  10 5.05+04 7.51+01 7.51+01 7.51+01 1.03+02 1.32+02 1.32+02 1.26+02 1.22+02 1.22+02 1.22+02 1.22+02 1.22+02 1.22+02
  14  10 1.00-30 1.67+02 1.67+02 1.67+02 2.71+02 5.28+02 6.50+02 7.64+02 8.01+02 8.15+02 8.21+02 8.31+02 8.37+02 8.42+02
  15  10 4.26+06 2.93+02 3.44+02 3.87+02 7.33+02 1.76+03 2.46+03 3.64+03 4.48+03 5.14+03 5.69+03 7.14+03 9.14+03 1.25+04
