H + 0         1         1   109679.0
    1 1S                (2)0( 0.5)        0.0
    2 2S                (2)0( 0.5)    82259.0
    3 2P                (2)1( 2.5)    82259.0
    4 3S                (2)0( 0.5)    97492.0
    5 3P                (2)1( 2.5)    97492.0
    6 3D                (2)2( 4.5)    97492.0
    7 4S                (2)0( 0.5)   102824.0
    8 4P                (2)1( 2.5)   102824.0
    9 4D                (2)2( 4.5)   102824.0
   10 4F                (2)3( 6.5)   102824.0
   11 5S                (2)0( 0.5)   105292.0
   12 5P                (2)1( 2.5)   105292.0
   13 5D                (2)2( 4.5)   105292.0
   14 5F                (2)3( 6.5)   105292.0
   15 5G                (2)4( 8.5)   105292.0
   -1
C   
C   RADIATIVE RECOMBINATION DATA ADDED 
C   
C   PROCESSED BY ADAS211 ON :
C   /u/cfm/adas/adf08/rrc97##/rrc97##_h1ls.dat
C
C                                           29/09/97
C   
C-------------------------------------------------------------------------------
C   
C  Update : 17/03/99  H. Anderson
C		      Identified and corrected the error associated with
C		      the effective collision strength at 3.48E+04 K
C		      for the transition H(2s)-H(3d) i.e. 6-2. The value
C		      originally inserted into the file was 70.0 when it
C		      should have been 7.0.
C
C		      Corrected error associated with the effective
C		      collision strength at 8.12E+04 K for the transition
C		      H(1s)-H(3s) i.e 1-4. The value original entered
C		      was 6.03E-04 when it should have been 9.10E-02.
C		      Source of error was due to a mistake in the
C		      excel spread sheet.
C
C		      Corrected error associated with the data for the
C		      transition H(2p)-H(3p) i.e. 5-3. The values for
C		      at 5.8E5 and 1.16E6 K which were respectively
C		      9.44-01 and  9.37-01 were incorrect. The correct
C		      values are  2.53+01 2.68+01
C  
C   
C-------------------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF04 DATA - SCCS info: @(#)$Header: /home/adascvs/adas/adf04/copha#h/copha#h_ha97h.dat,v 2.1 2004/07/06 21:25:54 whitefor Exp $ Date $Date: 2004/07/06 21:25:54 $
C---------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 21-Apr-2020.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
